rep,Lambda1,Lambda2,r_gain_algebraic,delta_phi_weak_deg,delta_phi_strong_deg
219,2.81350117848,0.965709161743,0.962196239169,4.57010840157,85.4298915984
220,3.05423717627,0.988033285534,0.988349633112,4.83565019316,85.1643498068
221,3.12723301479,1.0528697764,1.04967686943,4.67571618999,85.32428381
222,3.16786323021,0.984474985225,0.98567786161,4.6457463243,85.3542536757
223,3.16228361303,1.06414829745,1.05928166695,4.99371722573,85.0062827743
224,3.0643699498,1.06780947659,1.06562427599,5.12771728279,84.8722827172
225,3.16750047434,1.02711769314,1.02501817139,4.9351649505,85.0648350495
226,3.17957979742,1.00677787156,1.00621936946,4.89611823696,85.103881763
227,3.19698165071,0.946486403467,0.951313325128,4.84910332545,85.1508966745
228,3.11660930611,0.926349912035,0.930491639095,4.75602908962,85.2439709104
229,2.89800719699,1.01956861789,1.02061798084,4.24621972538,85.7537802746
230,2.97000582207,1.01784533945,1.01811555584,4.69801974048,85.3019802595
231,3.37335596493,1.05934967364,1.04998203762,4.55056071194,85.4494392881
232,2.94440772903,1.05859986279,1.06022058572,4.62994678502,85.370053215
233,3.27148348013,1.00138371296,1.00121833371,4.66386895547,85.3361310445
234,2.98369111312,1.06613127582,1.06660095361,5.21948755341,84.7805124466
235,3.18486020883,1.04255638028,1.03894092712,4.96396115314,85.0360388469
236,3.22681499875,0.989252956256,0.990347834522,4.70255702506,85.2974429749
237,3.17911804789,0.966848742061,0.969580732703,4.44618615344,85.5538138466
238,3.34198514802,1.01974349996,1.01685928447,4.59760433173,85.4023956683
239,3.16150424479,1.00979677946,1.00906459309,4.46486921773,85.5351307823
240,3.18477677639,1.04918673564,1.04500397328,4.88328678115,85.1167132189
241,3.02573201472,1.03058121706,1.03018587745,4.83902771591,85.1609722841
242,3.00100205034,0.971920482679,0.971940069669,4.4236660411,85.5763339589
243,3.09249260401,0.981637192364,0.982450218864,4.99169129181,85.0083087082
244,3.22257205896,1.04015286069,1.03612009769,4.22983157144,85.7701684286
245,3.11629015771,0.965776091691,0.967665151956,4.95471614345,85.0452838566
246,3.10957390993,1.00625742912,1.00593235822,4.82496198246,85.1750380175
247,3.2285010236,1.01797663501,1.0161323375,4.74209538537,85.2579046146
248,3.16391822917,0.991560862209,0.992200251078,4.02244579577,85.9775542042
249,2.94640140234,0.99083563596,0.990583483066,4.70316691675,85.2968330832
250,3.11724193401,1.00640937315,1.00605439965,4.41801055925,85.5819894407
251,3.10641014898,1.02955765808,1.02805896015,4.63574450392,85.3642554961
252,3.10844433917,0.976400199809,0.977616820641,4.04055932476,85.9594406752
253,3.17257400196,0.955817759197,0.959344099689,4.60553815726,85.3944618427
254,3.0226242524,0.9968781027,0.996913030328,4.82949571922,85.1705042808
255,3.19728205274,1.04234633649,1.03852997769,4.49799895917,85.5020010408
256,3.21796391954,0.995050433937,0.995536860297,4.38270192186,85.6172980781
257,3.32501158708,0.95914022617,0.964862834591,4.58131064634,85.4186893537
258,3.04970862539,0.992828726569,0.993002726766,4.82721021768,85.1727897823
259,2.99797941694,0.950826993153,0.950807060959,4.72171475457,85.2782852454
260,3.3133267568,1.01083251613,1.00936510899,4.31071727958,85.6892827204
261,3.28288267573,1.05038450414,1.04411963334,4.87479258681,85.1252074132
262,2.99760372039,1.03633204559,1.03636359972,4.67835702715,85.3216429729
263,3.10718253743,0.964014556109,0.96585492575,4.2736699672,85.7263300328
264,3.06175711578,1.06838005079,1.06625893651,5.06162609876,84.9383739012
265,3.12592871379,0.985637633308,0.986489000203,4.60910374333,85.3908962567
266,3.14034713744,1.00919001056,1.0085872436,4.81300457302,85.186995427
267,3.1284023036,0.977366156522,0.978734016444,4.85843443565,85.1415655644
268,3.13781167813,0.985053777301,0.986017952537,4.59373696275,85.4062630373
269,3.13425648135,1.03058954444,1.02865940635,4.64665440166,85.3533455983
270,3.32987399014,0.989419355589,0.990917597903,4.4563589059,85.5436410941
271,3.15983858814,1.0107449832,1.0099495558,4.37177729207,85.6282227079
272,3.14060914217,0.94195408655,0.945806768628,4.22559180977,85.7744081902
273,3.18319221816,1.00385842889,1.0035346561,4.58982170101,85.410178299
274,3.27429278661,1.0119943506,1.01054746959,4.10941066308,85.8905893369
275,3.17551027427,0.989166094256,0.990040371494,4.97433066403,85.025669336
276,3.11417111405,1.05124301019,1.04844728373,4.15206568689,85.8479343131
277,3.21030434594,1.05440049041,1.04919463399,5.06810028637,84.9318997136
278,3.16276599124,1.04171678535,1.03856290557,4.53208789353,85.4679121065
279,2.92499105926,1.00823284205,1.00855348541,5.02248289268,84.9775171073
280,3.20460478691,0.973226832423,0.975715176011,4.74319150319,85.2568084968
281,3.23175166172,0.963293553562,0.967114155153,4.43285746543,85.5671425346
282,3.17930804778,0.979818207025,0.981480303013,4.73454401501,85.265455985
283,3.13380045741,0.995372595808,0.99566277867,4.24798017181,85.7520198282
284,2.9389635439,0.990072122849,0.989759872571,4.55246182124,85.4475381788
285,3.04936805233,1.01505899906,1.01469544329,4.92951802299,85.070481977
286,3.03919682201,1.04894485405,1.04797641185,5.00753397746,84.9924660225
287,3.1666709594,0.996417336921,0.996692941983,4.49284407531,85.5071559247
288,3.15721687721,0.997563607687,0.99774117361,4.88195379743,85.1180462026
289,3.20124610566,0.968384598633,0.971280920421,5.22048961237,84.7795103876
290,3.07278350508,1.00920396879,1.00888060649,4.76175449869,85.2382455013
291,3.05643574857,1.02964145241,1.02882199972,5.3001523297,84.6998476703
292,3.16467543809,0.949657709661,0.953512590088,4.93251407199,85.067485928
293,3.21034199026,1.01994092316,1.01804182374,4.41672550399,85.583274496
294,2.95412021061,0.965871403822,0.965080767171,4.77385414608,85.2261458539
295,3.06063285027,0.945506379917,0.947146783581,4.18100584425,85.8189941558
296,2.98872388333,1.02419023726,1.0243237977,4.67766580301,85.322334197
297,3.28736023342,1.04830625152,1.04221872506,4.66204323054,85.3379567695
298,3.24274863648,1.04055245321,1.03615135331,4.27904808967,85.7209519103
299,3.19485896346,1.03922960182,1.03573539279,4.12397433404,85.876025666
300,3.14375118134,1.05772590418,1.05381601975,4.969745207,85.030254793
301,3.08948716833,0.944396969454,0.946815960713,4.73787079098,85.262129209
302,3.04365945801,1.04324159208,1.04229886868,5.38469648245,84.6153035175
303,3.29298489114,1.00524668718,1.00457627063,4.4356024877,85.5643975123
304,3.23803850032,0.960493007435,0.964705981975,4.94604178108,85.0539582189
305,3.26455731038,1.02059693092,1.0181891861,4.47988045542,85.5201195446
306,3.13145027342,1.02912602213,1.02732466699,4.82042446809,85.1795755319
307,3.20182691634,0.971009255094,0.973671209407,4.57041610315,85.4295838968
308,3.24679633874,0.994520898965,0.995122772494,4.94027669669,85.0597233033
309,3.19081460342,0.994064790509,0.994581772532,4.67313346571,85.3268665343
310,3.20273767712,0.991618852259,0.992390354517,4.74907200719,85.2509279928
311,3.09417163199,0.984764501421,0.985450388117,4.69308412047,85.3069158795
312,3.19404753919,1.07899446794,1.07191475988,4.70792012796,85.292079872
313,3.38870183445,1.03527895756,1.0295317427,4.97548702337,85.0245129766
314,3.09692112927,1.04502943112,1.04292834421,4.4439828566,85.5560171434
315,3.18866120379,1.02446376391,1.02235221042,4.54515236455,85.4548476355
316,3.04425574276,1.00625294227,1.00611751616,4.42446755195,85.575532448
317,3.1372134367,1.03442047732,1.03220226022,4.49350169639,85.5064983036
318,2.96494662313,1.00552224483,1.00562071371,4.95933129626,85.0406687037
319,2.96138336419,0.998086440786,0.998048767592,4.88329255602,85.116707444
320,3.11165665946,0.998637779971,0.998709809707,4.09160719858,85.9083928014
321,3.06563035807,1.01594301353,1.01543554371,4.94871107758,85.0512889224
322,3.17659257022,0.999194320318,0.99925968729,4.80811265383,85.1918873462
323,2.99168767337,1.01145935132,1.01150679611,4.92152795715,85.0784720429
324,3.1509648405,1.0375618199,1.03491490726,4.77539472338,85.2246052766
325,3.07288310055,1.01221786488,1.01178787211,4.54030475026,85.4596952497
326,3.08985858008,0.982698871935,0.983443910922,4.45578568327,85.5442143167
327,3.08920479751,0.948360130588,0.95059523205,4.68148417723,85.3185158228
328,3.40017011537,0.987413841135,0.989512566048,4.53779220462,85.4622077954
329,3.14031735135,1.00483961624,1.00452231207,4.41251911214,85.5874808879
330,3.14904263607,1.02443799203,1.02274020244,4.51512003876,85.4848799612
331,2.95252641083,1.03395305665,1.03476807544,5.18701129733,84.8129887027
332,3.10320008303,1.00048796278,1.00046401934,4.79431787863,85.2056821214
333,3.27659493287,1.0369760096,1.032475042,4.93337586087,85.0666241391
334,3.21229591118,0.978054459939,0.980162345673,4.35520710992,85.6447928901
335,3.14823216365,1.05023846544,1.04674634869,4.73158034282,85.2684196572
336,3.2956188402,0.946319969482,0.953258185939,4.23192382726,85.7680761727
337,3.16965143913,1.02905964466,1.02678258086,4.36571379842,85.6342862016
338,3.01376981205,0.935336775862,0.935845081145,4.50273717148,85.4972628285
339,3.06866276096,1.04877506813,1.04712993227,4.60109401089,85.3989059891
340,3.32968289561,1.037087372,1.03183092033,4.77058051402,85.229419486
341,3.11657366949,1.00665667906,1.00628998963,4.56043310617,85.4395668938
342,2.98710595918,1.03862876833,1.03886473769,4.50044746167,85.4995525383
343,3.10930690348,0.986771081077,0.987457113449,5.00989499141,84.9901050086
344,3.13408616704,1.03886857289,1.03641435312,4.44918646497,85.550813535
345,3.18071000277,0.977574332494,0.979434866502,4.68614568101,85.313854319
346,3.17436848347,1.02791603068,1.02567313701,4.48679135907,85.5132086409
347,3.1579753335,0.942474865858,0.946723871041,4.35408607928,85.6459139207
348,3.3875365856,1.01956482076,1.01638802703,4.5219382308,85.4780617692
349,3.32667530141,0.986804374693,0.988657462543,4.28140901632,85.7185909837
350,3.11457239159,0.987306078866,0.987994297332,4.86717733604,85.132822664
351,3.35055603618,1.00250065176,1.00212770842,4.45197287254,85.5480271275
352,3.16629631774,0.987579903071,0.988533712052,5.08577942071,84.9142205793
353,3.11056755801,0.924567039157,0.928609983496,4.36382938481,85.6361706152
354,3.08191496118,0.996196419137,0.996346086907,4.38841679165,85.6115832083
355,3.0649786854,0.976017219617,0.976775018512,4.80084852485,85.1991514751
356,3.14222018049,0.962397042356,0.964904284404,4.50247464809,85.4975253519
357,3.20296092738,1.01682703061,1.01527584869,4.51948913106,85.4805108689
358,3.1886145146,0.991214510006,0.991971771756,4.44754161564,85.5524583844
359,3.1288161759,0.993582619081,0.993970994138,4.39212488178,85.6078751182
360,3.28468628749,1.02742009816,1.02399992443,4.13361387599,85.866386124
361,2.930279507,1.00238595076,1.00247212604,4.93443059905,85.0655694009
362,3.34941102568,0.962141901195,0.967780630266,4.47695175866,85.5230482413
363,3.11680817144,0.996894887921,0.997066238274,4.32362717697,85.676372823
364,3.12952519812,1.07782278987,1.07299185305,4.94641519147,85.0535848085
365,3.12678383435,1.03313180195,1.03114915843,4.47522383106,85.5247761689
366,3.02157270324,0.998486947955,0.998503094947,4.83250290406,85.1674970959
367,3.17528059305,0.958057652935,0.961451630591,4.57054485316,85.4294551468
368,3.04562791554,0.967566946934,0.968298338124,4.60123115927,85.3987688407
369,3.08901596799,1.02346480018,1.02246209737,4.50449390175,85.4955060982
370,3.1608922135,0.98022066469,0.981694896073,4.63541477393,85.3645852261
371,3.239011611,1.03266658809,1.02917326198,4.79234545879,85.2076545412
372,3.10409589272,1.03000080027,1.02851077509,4.68024992912,85.3197500709
373,3.09837947218,1.08448799698,1.0803965655,4.22323989256,85.7767601074
