realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
92,38.393012043987675,7.016072997692808,1.313656315260919,-0.20194950052655353,0.9793959358896052,49.14682414607525,40.85317585392476,0,0,0,0
93,39.452995529887986,6.991656242661821,1.3042484510500045,-0.1986367815632651,0.9800731753344685,57.79626557860035,32.20373442139965,0,0,0,0
94,38.53659583567223,6.7542893889249935,1.299556557608956,-0.2045296634527411,0.9788603663280623,49.677789188441025,40.322210811558975,0,0,0,0
95,39.01738715047826,7.052237812626055,1.310523384624393,-0.20543463624837482,0.9786708385506834,48.36478337242729,41.6352166275727,0,0,0,0
96,36.25231219997701,6.763063468571379,1.318450028742394,-0.20214779965187396,0.9793550260737451,52.23050658604203,37.769493413957974,0,0,0,0
97,34.40096730500512,6.85859839714285,1.3403334566356984,-0.20206350522826905,0.9793724214285724,48.651227608604735,41.34877239139525,0,0,0,0
98,38.341078596960415,7.004465406624589,1.3134950860103245,-0.20505303432213187,0.9787508636600464,47.95783393399028,42.042166066009734,0,0,0,0
99,37.90597118559223,7.304583871280655,1.331968956819537,-0.20904503677715017,0.9779060141950453,44.604576040275276,45.39542395972472,0,0,1,1
100,37.87877779533535,7.047677425896902,1.3193870443311824,-0.20336331781180578,0.9791033453974991,49.14410878979766,40.85589121020234,0,0,0,0
101,34.76503064386754,7.309496963903975,1.3611199207556,-0.20431621102922082,0.9789049422240461,48.35833556830019,41.6416644316998,0,0,0,0
102,37.11793474898844,6.594905680231319,1.3025530780471455,-0.1971611472296938,0.980371094036881,56.49650283147996,33.50349716852005,0,0,0,0
103,36.1564458187558,6.8673067842764155,1.3247378704671353,-0.20442705856140522,0.9788817996714066,47.055205602254034,42.94479439774596,0,0,0,0
104,38.84112454294454,6.811429738334088,1.3000716685813138,-0.2065120747249975,0.9784440520503853,49.32723789245581,40.67276210754418,0,0,0,0
105,38.200747616133064,7.126993282477349,1.3207021402044643,-0.20442293936783115,0.9788826599037374,46.74757424377739,43.25242575622258,0,0,0,0
106,38.45131863971851,7.303557729459438,1.327353032065711,-0.2000833875499669,0.9797788720045608,52.9533420569039,37.04665794309609,0,0,0,0
107,36.65956388583623,7.241785358529276,1.339669453836397,-0.2050228337162158,0.978757190346499,46.318701313774945,43.68129868622505,0,0,0,0
108,38.03467928948678,7.027663844739847,1.317114234541465,-0.20783025721448636,0.9781649064376418,48.71733264292525,41.28266735707474,0,0,0,0
109,39.6584180464442,6.764399980174969,1.2917357489758075,-0.20253783308635626,0.9792744386374451,55.004660465476256,34.99533953452372,0,0,0,0
110,35.804051006789905,7.614641040084678,1.3668565192843882,-0.2033350762846598,0.9791092108402982,50.086250829158075,39.91374917084194,0,0,0,0
111,38.30189227119913,7.149045245890932,1.3209687868924145,-0.20158413644046438,0.9794712021981821,51.97790464445374,38.022095355546234,0,0,0,0
112,38.26242096509405,7.24342085393748,1.325954660904795,-0.19932418839754834,0.9799336038322488,54.52057720239705,35.47942279760295,0,0,0,0
