realization,Lambda1,Lambda2,r_gain,weak_axis_w0,weak_axis_wa,delta_phi_weak_deg,delta_phi_strong_deg,angle_weak_lt_5deg,angle_weak_lt_10deg,angle_weak_lt_45deg,angle_weak_lt_angle_strong
80,6.68143043156898,1.5016608321449267,1.175230463544512,-0.24924597194049394,0.9684402126468306,3.321251954634197,86.67874804536558,1,1,1,1
81,6.721843642038209,1.5258062787838214,1.1822500804959708,-0.2506463896222196,0.9680787092841917,3.3399017884636315,86.66009821153627,1,1,1,1
82,6.730253174467219,1.5436342714586841,1.1880492634050739,-0.24523827712452753,0.96946283447742,3.193976631683233,86.80602336831686,1,1,1,1
83,6.679352686985382,1.5278859557048003,1.1843042476580332,-0.24968092051432159,0.9683281664451988,3.52534371717043,86.47465628282964,1,1,1,1
84,6.490864424557866,1.6018274191920356,1.2166082646840948,-0.2437664441116073,0.969833965545228,3.4231359164047936,86.57686408359491,1,1,1,1
85,6.757340587005952,1.500928083764036,1.172706285371455,-0.24874120391117785,0.9685699837785694,3.47120788381915,86.52879211618074,1,1,1,1
86,6.970144678719263,1.5309237133132345,1.176464013271131,-0.24879570487648503,0.968555985596606,3.4470027302494475,86.55299726975056,1,1,1,1
87,6.925563337551214,1.5471833370251642,1.1831241404388593,-0.24651839225297317,0.9691381131092767,3.496743637957926,86.50325636204207,1,1,1,1
88,6.666770950505981,1.5075164547975741,1.1776948663758189,-0.2470368621745703,0.9690060829153461,3.311431906787891,86.68856809321213,1,1,1,1
89,6.660212123821051,1.5342772390731123,1.1871162999527962,-0.2482575278390864,0.9686940692866995,3.313411618312459,86.6865883816876,1,1,1,1
90,6.6537657819951335,1.5296873953498473,1.1857447282076605,-0.24887787819184748,0.9685348737896452,3.4549183181389767,86.54508168186102,1,1,1,1
91,6.776397148362259,1.4898092758530157,1.1683792118034722,-0.246645665502872,0.9691057298812372,3.2843406982515466,86.7156593017483,1,1,1,1
92,6.525951047533246,1.4696262235989783,1.1687523623602574,-0.24737897581757456,0.9689188006863361,3.3989589206779702,86.60104107932214,1,1,1,1
93,6.662805307343242,1.5031544979347324,1.1763130804213042,-0.251148557406818,0.9679485534430403,3.455265092335424,86.54473490766476,1,1,1,1
94,7.283439054740631,1.4903850617243464,1.1551431520710878,-0.25036171976979477,0.9681523688314309,3.299935305158065,86.70006469484186,1,1,1,1
95,6.914365444294228,1.436335812562235,1.146752434479101,-0.2510761909093381,0.967967327113089,3.2487440027446,86.7512559972554,1,1,1,1
96,6.540416170710026,1.5019493764316234,1.1797204121851987,-0.24741398181631513,0.9689098624752438,3.3368473345023237,86.66315266549759,1,1,1,1
97,6.570841923948539,1.4929252555282422,1.1755914113661006,-0.24797425641137474,0.9687666221320932,3.160128921044886,86.83987107895518,1,1,1,1
98,6.986548708783142,1.5094590368266303,1.1689774953521137,-0.24925820863424047,0.968437063225303,3.2350651827489068,86.76493481725107,1,1,1,1
99,6.817605201671084,1.4355510666443594,1.1489009022737833,-0.2514140191733663,0.967879636609374,3.3805368098811415,86.61946319011892,1,1,1,1
100,6.2910281502310585,1.540539138210031,1.2022124278523094,-0.24822147942141937,0.9687033070831552,3.730929778281007,86.2690702217189,1,1,1,1
101,6.974939884831132,1.4506630023348972,1.1499977196666777,-0.24895135871636598,0.9685159890230389,3.1795122265247935,86.82048777347518,1,1,1,1
102,6.685379961740388,1.6147471347039404,1.2137562733139304,-0.24979304115420878,0.9682992495044762,3.225817448924502,86.77418255107536,1,1,1,1
103,7.031656121810249,1.4880254970213453,1.1607689124779597,-0.25049770497629303,0.9681171932166116,3.3975117566074458,86.60248824339253,1,1,1,1
104,6.955121002256055,1.4879442842976156,1.1627809876732367,-0.2510492072517418,0.9679743258673092,3.3711817344833226,86.62881826551664,1,1,1,1
105,7.150133069091035,1.4405144934251053,1.142522448788111,-0.24949556981835092,0.9683759397264146,3.390139761680147,86.60986023831988,1,1,1,1
106,7.158379941248,1.494061715330163,1.159425750304813,-0.2517020191743727,0.9678047806988471,3.162006083293229,86.83799391670661,1,1,1,1
107,6.780056914393905,1.5288284887285586,1.1814648338827285,-0.2458033927328911,0.9693197058354897,3.407525815313077,86.59247418468684,1,1,1,1
108,6.513506291266642,1.4739512396819396,1.170662612824182,-0.24567648970020586,0.9693518774978385,3.1662822725247537,86.83371772747493,1,1,1,1
109,6.5564658644657285,1.5619499274251512,1.2002209372087502,-0.24579591309571658,0.9693216025166481,3.137184248119902,86.86281575187992,1,1,1,1
110,6.832836262305806,1.570539772435287,1.1937762927221407,-0.2460689667927403,0.9692523219376642,3.392756315494788,86.60724368450508,1,1,1,1
